cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE"
People,"Sex and Age","Total population",697102,"(+/- 1104 )",746998,"(+/- 3252 )",752287,"(+/- 2976 )",702887,"(+/- 3617 )",672466,"(+/- 3646 )",721508,"(+/- 1278 )",710064,"(+/- 4256 )",740750,"(+/- 5416 )",718223,"(+/- 7936 )",721753,"(+/- 5522 )",735677,"(+/- 6438 )",704912,"(+/- 7157 )",672291,"(+/- 13697 )",689939,"(+/- 13776 )"
People,"Sex and Age",Male,353150,"(+/- 1696 )",370366,"(+/- 3573 )",373017,"(+/- 3175 )",353246,"(+/- 2627 )",324597,"(+/- 2131 )",355240,"(+/- 2115 )",356484,"(+/- 2828 )",359675,"(+/- 4175 )",349578,"(+/- 4991 )",356612,"(+/- 3844 )",365674,"(+/- 4886 )",345213,"(+/- 4915 )",321767,"(+/- 8841 )",331286,"(+/- 7849 )"
People,"Sex and Age",Female,343952,"(+/- 1711 )",376632,"(+/- 3292 )",379270,"(+/- 2975 )",349641,"(+/- 2887 )",347869,"(+/- 2527 )",366268,"(+/- 2041 )",353580,"(+/- 3178 )",381075,"(+/- 3900 )",368645,"(+/- 5692 )",365141,"(+/- 4126 )",370003,"(+/- 5606 )",359699,"(+/- 5548 )",350524,"(+/- 8291 )",358653,"(+/- 8891 )"
People,"Sex and Age","Under 5 years",32318,"(+/- 880 )",46119,"(+/- 2415 )",46113,"(+/- 2375 )",37024,"(+/- 1308 )",38578,"(+/- 1164 )",42893,"(+/- 857 )",37835,"(+/- 1505 )",38538,"(+/- 1762 )",37647,"(+/- 2775 )",38210,"(+/- 2425 )",40780,"(+/- 2807 )",38969,"(+/- 2873 )",47549,"(+/- 3468 )",45341,"(+/- 3869 )"
People,"Sex and Age","5 to 9 years",34476,"(+/- 1758 )",51833,"(+/- 3018 )",48470,"(+/- 3004 )",39021,"(+/- 2125 )",40105,"(+/- 2491 )",42823,"(+/- 3127 )",40395,"(+/- 2465 )",40773,"(+/- 2442 )",36183,"(+/- 3012 )",39957,"(+/- 2726 )",37194,"(+/- 2850 )",35169,"(+/- 2764 )",46644,"(+/- 3985 )",45645,"(+/- 4173 )"
People,"Sex and Age","10 to 14 years",36869,"(+/- 1909 )",48282,"(+/- 3014 )",48644,"(+/- 2762 )",41176,"(+/- 2270 )",41329,"(+/- 2242 )",47117,"(+/- 2926 )",43656,"(+/- 2478 )",44205,"(+/- 2765 )",39186,"(+/- 3052 )",45719,"(+/- 2851 )",48022,"(+/- 2712 )",43436,"(+/- 2878 )",45693,"(+/- 3684 )",44302,"(+/- 4473 )"
People,"Sex and Age","15 to 19 years",41032,"(+/- 2088 )",51111,"(+/- 1766 )",52107,"(+/- 2354 )",49761,"(+/- 1769 )",40005,"(+/- 1090 )",47901,"(+/- 2533 )",43384,"(+/- 1598 )",60453,"(+/- 2315 )",39464,"(+/- 2257 )",43173,"(+/- 2015 )",45997,"(+/- 3002 )",54574,"(+/- 3369 )",44196,"(+/- 3992 )",40060,"(+/- 3044 )"
People,"Sex and Age","20 to 24 years",40391,"(+/- 2046 )",55904,"(+/- 2754 )",47394,"(+/- 2266 )",50556,"(+/- 1633 )",39104,"(+/- 1415 )",57726,"(+/- 2445 )",44074,"(+/- 2116 )",61158,"(+/- 2509 )",42452,"(+/- 3592 )",41763,"(+/- 2496 )",38673,"(+/- 3030 )",66491,"(+/- 3530 )",46508,"(+/- 3415 )",42580,"(+/- 3768 )"
People,"Sex and Age","25 to 34 years",75145,"(+/- 1544 )",97141,"(+/- 3633 )",109059,"(+/- 3619 )",80770,"(+/- 1725 )",83619,"(+/- 1954 )",87154,"(+/- 2684 )",82076,"(+/- 2111 )",88390,"(+/- 3138 )",115948,"(+/- 4358 )",79968,"(+/- 2979 )",89490,"(+/- 4692 )",102390,"(+/- 3656 )",102400,"(+/- 4564 )",108467,"(+/- 5271 )"
People,"Sex and Age","35 to 44 years",73080,"(+/- 1145 )",90498,"(+/- 2427 )",95512,"(+/- 2854 )",77300,"(+/- 1476 )",75988,"(+/- 1671 )",85849,"(+/- 2033 )",84506,"(+/- 2168 )",88749,"(+/- 2673 )",88091,"(+/- 3615 )",83024,"(+/- 2958 )",88467,"(+/- 3925 )",82432,"(+/- 3150 )",80256,"(+/- 3989 )",80277,"(+/- 4670 )"
