cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
People,"Sex and Age","Total population",719122,"(+/- 2604 )",721469,"(+/- 4005 )",753051,"(+/- 2879 )",767105,"(+/- 4649 )",791257,"(+/- 9448 )",720190,"(+/- 3498 )",777205,"(+/- 8696 )",716924,"(+/- 2603 )",765896,"(+/- 4319 )"
People,"Sex and Age",Male,352827,"(+/- 1855 )",358326,"(+/- 3342 )",371395,"(+/- 2199 )",383164,"(+/- 4097 )",389779,"(+/- 6479 )",355097,"(+/- 3042 )",376036,"(+/- 5042 )",356189,"(+/- 2345 )",377094,"(+/- 3470 )"
People,"Sex and Age",Female,366295,"(+/- 1916 )",363143,"(+/- 3381 )",381656,"(+/- 2109 )",383941,"(+/- 3407 )",401478,"(+/- 6078 )",365093,"(+/- 2628 )",401169,"(+/- 5579 )",360735,"(+/- 2419 )",388802,"(+/- 3582 )"
People,"Sex and Age","Under 5 years",42238,"(+/- 1152 )",43928,"(+/- 2190 )",51902,"(+/- 947 )",43369,"(+/- 2224 )",47716,"(+/- 2693 )",41409,"(+/- 1375 )",57981,"(+/- 2531 )",41946,"(+/- 1099 )",44064,"(+/- 1765 )"
People,"Sex and Age","5 to 9 years",40896,"(+/- 2715 )",44148,"(+/- 2922 )",51726,"(+/- 2423 )",45965,"(+/- 2861 )",49097,"(+/- 3328 )",41218,"(+/- 2762 )",57119,"(+/- 4870 )",40787,"(+/- 2484 )",42169,"(+/- 2835 )"
People,"Sex and Age","10 to 14 years",50960,"(+/- 2448 )",55154,"(+/- 3683 )",54862,"(+/- 2500 )",54181,"(+/- 3435 )",58157,"(+/- 3904 )",45269,"(+/- 2720 )",53640,"(+/- 4484 )",48569,"(+/- 2611 )",48942,"(+/- 2564 )"
People,"Sex and Age","15 to 19 years",46671,"(+/- 1249 )",52131,"(+/- 2947 )",50339,"(+/- 1412 )",58113,"(+/- 2763 )",51824,"(+/- 2632 )",50177,"(+/- 2241 )",48887,"(+/- 2093 )",48194,"(+/- 2111 )",58617,"(+/- 3080 )"
People,"Sex and Age","20 to 24 years",45440,"(+/- 1369 )",48616,"(+/- 2130 )",47894,"(+/- 1462 )",65241,"(+/- 2392 )",47292,"(+/- 2950 )",49207,"(+/- 2192 )",55666,"(+/- 2651 )",47359,"(+/- 2324 )",61124,"(+/- 2805 )"
People,"Sex and Age","25 to 34 years",89318,"(+/- 1702 )",90524,"(+/- 2468 )",98958,"(+/- 2182 )",101342,"(+/- 3283 )",103512,"(+/- 4058 )",88123,"(+/- 1941 )",129301,"(+/- 3781 )",89695,"(+/- 2114 )",95546,"(+/- 2781 )"
People,"Sex and Age","35 to 44 years",92669,"(+/- 1823 )",82052,"(+/- 2065 )",90415,"(+/- 1692 )",89432,"(+/- 2941 )",106384,"(+/- 3665 )",82408,"(+/- 1861 )",101777,"(+/- 2961 )",85362,"(+/- 1971 )",95269,"(+/- 2437 )"
People,"Sex and Age","45 to 54 years",89541,"(+/- 1830 )",89858,"(+/- 2549 )",89466,"(+/- 1805 )",92906,"(+/- 3007 )",105671,"(+/- 3501 )",92299,"(+/- 2065 )",88682,"(+/- 2620 )",85081,"(+/- 1819 )",93916,"(+/- 2281 )"
People,"Sex and Age","55 to 59 years",48880,"(+/- 2800 )",45230,"(+/- 2945 )",48969,"(+/- 2701 )",50395,"(+/- 2984 )",51303,"(+/- 3356 )",51372,"(+/- 2927 )",49263,"(+/- 3012 )",49925,"(+/- 3169 )",50778,"(+/- 2947 )"
People,"Sex and Age","60 to 64 years",50626,"(+/- 2699 )",48580,"(+/- 2825 )",48550,"(+/- 2643 )",46012,"(+/- 2856 )",48979,"(+/- 3750 )",49201,"(+/- 2836 )",39525,"(+/- 2899 )",50948,"(+/- 3096 )",49500,"(+/- 2505 )"
People,"Sex and Age","65 to 74 years",72464,"(+/- 1166 )",69489,"(+/- 1354 )",71443,"(+/- 1204 )",69989,"(+/- 1843 )",70278,"(+/- 2321 )",74274,"(+/- 1221 )",58420,"(+/- 1906 )",74824,"(+/- 1294 )",76194,"(+/- 1674 )"
People,"Sex and Age","75 to 84 years",36253,"(+/- 1805 )",35134,"(+/- 1798 )",35396,"(+/- 1716 )",36403,"(+/- 2238 )",33796,"(+/- 2628 )",40588,"(+/- 2087 )",24517,"(+/- 2302 )",39882,"(+/- 1776 )",37227,"(+/- 1629 )"
